timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
570708,495,119,644,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
571704,498,119,643,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
572700,502,119,642,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
573696,503,119,642,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
574692,507,120,641,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
575688,510,120,641,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
576684,516,121,643,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
577680,525,122,649,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
578676,539,122,658,806,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
579672,557,122,676,806,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
580668,576,123,697,806,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
581664,599,125,722,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
582660,622,125,746,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
583656,641,128,760,806,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
584652,656,131,773,806,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
585648,667,134,783,806,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
586644,675,137,789,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
587640,680,141,793,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
588636,682,145,794,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
589632,684,148,793,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
590628,684,151,792,808,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
591624,684,154,792,808,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
592620,684,157,792,807,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
593616,683,160,796,808,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
594612,685,164,804,808,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
595608,687,168,812,809,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
596604,689,174,817,809,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
597600,691,179,821,809,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
598596,694,185,825,810,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
599592,696,191,826,810,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
0,690,205,812,812,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
996,683,207,807,812,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
1992,680,210,803,812,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
2988,679,212,802,812,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
3984,680,215,801,813,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
4980,682,218,800,813,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
5976,682,220,799,812,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
6972,683,223,796,813,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
7968,683,226,794,813,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
8964,682,228,792,813,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
9960,681,230,790,813,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
10956,681,234,789,813,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
11952,681,236,793,814,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
12948,685,240,800,814,0,4,0,33.59,688.6,100.0,0.0,3170.54,1
13944,691,243,811,815,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
14940,700,247,825,814,0,5,0,33.59,688.6,100.0,0.0,3170.54,1
