timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
96612,40,71,70,807,0,2,0,24.44,1030.65,11.81,679.30,-112.62,0
97608,39,71,70,807,0,1,0,24.44,1030.65,11.81,679.99,-112.53,0
98604,40,71,70,808,0,1,0,24.44,1030.64,11.82,677.93,-112.53,0
99600,39,71,70,808,0,1,0,24.44,1030.64,11.82,681.37,-112.62,0
100596,39,71,71,808,0,1,0,24.44,1030.65,11.82,673.85,-112.62,0
101592,40,71,70,808,0,1,0,24.44,1030.65,11.81,673.85,-112.62,0
102588,40,71,70,807,0,2,0,24.44,1030.65,11.82,675.88,-112.62,0
103584,40,72,70,805,0,1,0,24.44,1030.65,11.80,673.17,-112.70,0
104580,39,71,70,805,0,1,0,24.44,1030.66,11.81,667.16,-112.70,0
105576,40,71,70,804,0,1,0,24.44,1030.66,11.82,664.52,-112.70,0
106572,40,72,70,802,0,1,0,24.44,1030.66,11.80,664.52,-112.70,0
107568,39,72,70,801,0,1,0,24.44,1030.66,11.81,663.21,-112.70,0
108564,40,72,71,800,0,1,0,24.44,1030.66,11.81,660.60,-112.78,0
109560,39,71,70,800,0,1,0,24.44,1030.67,11.81,655.44,-112.70,0
110556,39,71,70,800,0,1,0,24.44,1030.66,11.79,650.37,-112.70,0
111552,39,71,70,799,0,2,0,24.44,1030.66,11.80,642.90,-112.70,0
112548,39,71,70,798,0,1,0,24.44,1030.66,11.80,639.23,-112.70,0
113544,39,71,69,798,0,2,0,24.44,1030.66,11.81,629.64,-112.70,0
114540,39,71,70,798,0,2,0,24.44,1030.66,11.81,614.66,-112.78,0
115536,39,71,70,799,0,2,0,24.44,1030.67,11.80,590.88,-112.78,0
116532,39,72,70,799,0,1,0,24.44,1030.67,11.80,573.72,-112.78,0
117528,39,71,70,799,0,2,0,24.44,1030.67,11.80,557.53,-112.78,0
118524,39,72,70,799,0,2,0,24.44,1030.67,11.80,545.32,-112.78,0
119520,39,71,70,799,0,2,0,24.44,1030.67,11.79,531.93,-112.70,0
120516,40,71,70,798,0,2,0,24.44,1030.66,11.79,524.87,-112.78,0
121512,39,72,70,801,0,2,0,24.44,1030.67,11.78,516.00,-112.70,0
122508,39,71,70,803,0,2,0,24.44,1030.66,11.78,509.35,-112.70,0
123504,40,71,70,805,0,2,0,24.44,1030.66,11.77,497.28,-112.78,0
124500,40,71,70,806,0,2,0,24.44,1030.67,11.78,483.68,-112.78,0
125496,39,71,70,806,0,2,0,24.44,1030.67,11.77,474.12,-112.70,0
126492,39,71,71,807,0,2,0,24.44,1030.66,11.76,461.10,-112.70,0
127488,40,72,70,808,0,2,0,24.44,1030.66,11.76,448.18,-112.70,0
128484,38,71,70,808,0,2,0,24.44,1030.66,11.77,436.54,-112.70,0
129480,39,71,70,808,0,2,0,24.44,1030.66,11.76,434.84,-112.86,0
130476,39,71,70,808,0,1,0,24.44,1030.68,11.76,430.38,-112.78,0
131472,39,71,70,810,0,2,0,24.44,1030.67,11.76,428.74,-112.78,0
132468,39,71,70,810,0,2,0,24.44,1030.67,11.76,432.60,-112.70,0
133464,39,71,70,815,0,2,0,24.44,1030.66,11.76,430.93,-112.70,0
134460,39,71,70,818,0,2,0,24.44,1030.66,11.76,430.66,-112.78,0
135456,39,72,70,819,0,2,0,24.44,1030.67,11.77,434.28,-112.70,0
136452,39,72,70,821,0,2,0,24.44,1030.66,11.78,437.39,-112.70,0
137448,39,72,70,823,0,2,0,24.44,1030.66,11.78,439.97,-112.78,0
138444,39,72,70,825,0,2,0,24.44,1030.67,11.77,440.83,-112.78,0
139440,39,71,70,827,0,2,0,24.44,1030.67,11.78,445.80,-112.86,0
140436,39,71,70,829,0,2,0,24.44,1030.68,11.78,451.19,-112.86,0
141432,39,71,70,830,0,2,0,24.44,1030.68,11.78,452.41,-112.86,0
142428,39,71,70,830,0,2,0,24.44,1030.68,11.78,456.40,-112.78,0
143424,39,71,70,833,0,2,0,24.44,1030.67,11.78,460.47,-112.78,0
144420,39,72,70,835,0,2,0,24.44,1030.67,11.78,460.79,-112.78,0
145416,39,71,70,837,0,2,0,24.44,1030.67,11.78,463.01,-112.86,0
146412,39,72,70,839,0,2,0,24.44,1030.68,11.78,468.50,-112.78,0
147408,39,71,70,841,0,2,0,24.44,1030.67,11.78,473.12,-112.78,0
148404,38,71,70,844,0,2,0,24.44,1030.67,11.78,471.79,-112.78,0
149400,39,71,70,847,0,2,0,24.44,1030.67,11.78,476.81,-112.78,0
150396,39,71,70,849,0,2,0,24.44,1030.67,11.78,475.12,-112.78,0
151392,39,72,70,852,0,2,0,24.44,1030.67,11.78,484.72,-112.86,0
152388,39,72,70,854,0,2,0,24.44,1030.68,11.79,485.42,-112.86,0
153384,38,71,71,856,0,2,0,24.44,1030.68,11.79,483.68,-112.86,0
154380,39,72,71,856,0,2,0,24.44,1030.68,11.78,489.67,-112.94,0
155376,39,72,70,856,0,2,0,24.44,1030.69,11.78,490.38,-112.86,0
156372,39,72,71,856,0,2,0,24.44,1030.68,11.79,496.18,-112.86,0
157368,39,72,70,856,0,2,1,24.44,1030.68,11.79,498.39,-112.86,0
158364,39,72,71,856,0,2,0,24.44,1030.68,11.78,498.02,-112.94,0
159360,39,72,70,854,0,2,0,24.44,1030.69,11.78,500.24,-112.94,1
160356,39,72,71,855,0,2,0,24.44,1030.69,11.78,499.87,-112.94,1
161352,39,73,73,909,0,2,0,24.44,1030.69,11.79,501.36,-113.03,1
162348,41,74,74,946,0,2,0,24.44,1030.70,11.79,502.49,-113.11,1
163344,40,75,74,947,0,2,0,24.44,1030.71,11.79,503.24,-113.03,1
164340,41,75,75,940,0,2,1354,24.43,1030.70,11.79,498.02,-113.03,1
165336,43,76,80,938,0,2,4294967295,24.43,1030.70,11.79,499.50,-112.94,1
166332,45,76,81,933,0,2,4294967295,24.43,1030.69,11.79,498.76,-112.94,1
167328,44,75,82,925,0,2,4294967295,24.43,1030.69,11.78,499.13,-112.86,1
168324,44,75,81,917,0,2,4294967295,24.43,1030.68,11.78,497.28,-112.86,1
169320,45,75,83,910,0,2,4294967295,24.43,1030.68,11.78,497.28,-112.86,1
170316,45,75,85,905,0,2,4294967295,24.43,1030.68,11.78,495.81,-112.86,1
171312,47,75,93,920,0,2,4294967295,24.43,1030.68,11.76,499.50,-112.86,1
172308,50,80,104,992,0,2,4294967295,24.43,1030.68,11.77,499.13,-112.86,1
173304,51,84,111,1004,0,2,4294967295,24.43,1030.68,11.76,496.91,-112.86,1
174300,53,88,117,1005,0,2,4294967295,24.43,1030.68,11.77,498.02,-112.86,1
175296,54,92,124,1008,0,2,4294967295,24.43,1030.68,11.76,500.24,-112.86,1
176292,56,92,127,1006,0,3,4294967295,24.43,1030.68,11.77,503.24,-112.86,1
177288,56,91,126,1000,0,3,4294967295,24.43,1030.68,11.77,503.24,-112.78,1
178284,56,91,126,995,0,3,4294967295,24.43,1030.67,11.77,504.75,-112.78,1
179280,57,92,128,993,0,3,4294967295,24.43,1030.67,11.77,510.89,-112.78,1
180276,60,96,137,1003,0,4,4294967295,24.43,1030.67,11.78,504.00,-112.78,1
181272,61,103,145,1009,0,4,4294967295,24.43,1030.67,11.77,510.12,-112.86,1
182268,63,103,150,1009,0,4,4294967295,24.43,1030.68,11.78,510.89,-112.94,1
183264,64,102,154,1005,0,4,4294967295,24.43,1030.69,11.80,514.81,-112.86,1
184260,66,101,161,1003,0,4,4294967295,24.43,1030.68,11.78,515.60,-112.86,1
185256,67,99,167,999,0,4,4294967295,24.43,1030.68,11.78,515.60,-112.86,1
186252,68,99,167,994,0,5,4294967295,24.43,1030.68,11.77,516.39,-112.86,1
187248,69,98,166,989,0,5,4294967295,24.43,1030.68,11.79,514.81,-112.86,1
188244,70,98,167,983,0,5,4294967295,24.43,1030.68,11.78,510.89,-112.86,1
189240,73,97,172,980,0,5,4294967295,24.43,1030.68,11.79,506.66,-112.86,1
190236,75,99,184,994,0,5,4294967295,24.43,1030.68,11.80,503.24,-112.86,1
191232,77,105,191,1006,0,5,4294967295,24.44,1030.68,11.79,502.49,-112.86,1
192228,78,107,195,1008,0,5,4294967295,24.44,1030.68,11.78,501.36,-112.86,1
193224,81,106,202,1006,0,5,4294967295,24.44,1030.68,11.79,502.49,-112.78,1
194220,82,105,209,1004,0,5,4294967295,24.44,1030.67,11.78,502.49,-112.78,1
195216,83,104,206,1000,0,5,4294967295,24.44,1030.67,11.79,504.75,-112.86,1
196212,84,103,204,994,0,5,4294967295,24.44,1030.68,11.79,508.57,-112.86,1
197208,86,102,211,991,0,5,4294967295,24.44,1030.68,11.79,506.27,-112.86,1
198204,88,102,217,987,0,5,4294967295,24.44,1030.68,11.79,505.13,-112.78,1
199200,90,102,222,984,0,5,4294967295,24.44,1030.67,11.79,510.12,-112.86,1
200196,91,101,222,981,0,5,4294967295,24.44,1030.68,11.79,514.81,-112.86,1
201192,93,102,223,977,0,5,4294967295,24.44,1030.68,11.79,515.60,-112.94,1
202188,93,101,226,976,0,6,4294967295,24.44,1030.69,11.79,517.59,-112.94,1
203184,96,102,229,974,0,6,4294967295,24.44,1030.69,11.78,519.59,-112.94,1
204180,96,101,230,971,0,6,4294967295,24.44,1030.69,11.79,519.99,-112.94,1
205176,97,101,231,968,0,6,4294967295,24.44,1030.69,11.79,519.99,-112.86,1
206172,99,101,238,969,0,6,4294967295,24.44,1030.68,11.78,524.46,-112.94,1
207168,101,101,246,975,0,6,4294967295,24.44,1030.69,11.78,526.10,-112.94,1
208164,102,103,255,983,0,6,4294967295,24.44,1030.69,11.78,528.58,-113.03,1
209160,104,106,261,996,0,6,4294967295,24.44,1030.70,11.79,526.92,-112.94,1
210156,106,108,266,1001,0,6,4294967295,24.44,1030.69,11.78,530.67,-113.03,1
211152,107,110,267,1005,0,6,4294967295,24.44,1030.70,11.79,531.93,-113.03,1
212148,107,114,269,1007,0,6,4294967295,24.44,1030.70,11.78,537.89,-113.11,1
213144,107,117,268,1008,0,6,4294967295,24.44,1030.71,11.79,532.35,-113.03,1
214140,108,122,273,1008,0,6,4294967295,24.44,1030.70,11.78,536.17,-113.03,1
215136,109,126,275,1008,0,6,4294967295,24.44,1030.70,11.78,539.19,-113.03,1
216132,109,127,268,1005,0,6,4294967295,24.44,1030.70,11.78,534.89,-113.03,0
217128,107,127,260,1001,0,6,4294967295,24.44,1030.70,11.79,540.49,-113.03,0
218124,106,126,257,997,0,6,4294967295,24.44,1030.70,11.79,541.36,-113.03,0
219120,105,124,251,992,0,5,4294967295,24.44,1030.70,11.77,543.99,-113.03,0
220116,103,122,247,986,0,6,4294967295,24.44,1030.70,11.79,543.11,-113.11,0
221112,102,121,243,981,0,6,4294967295,24.44,1030.71,11.78,539.62,-113.11,0
222108,101,120,240,976,0,5,4294967295,24.44,1030.71,11.78,545.76,-113.11,0
223104,100,119,238,971,0,5,4294967295,24.44,1030.71,11.79,546.20,-113.11,0
224100,98,118,234,967,0,5,4294967295,24.44,1030.71,11.78,547.54,-113.03,0
225096,97,117,232,963,0,5,4294967295,24.44,1030.70,11.79,548.88,-113.03,0
226092,96,116,230,958,0,5,4294967295,24.44,1030.70,11.80,545.76,-113.11,0
227088,95,115,227,955,0,5,4294967295,24.44,1030.71,11.79,547.54,-113.11,0
228084,95,115,225,951,0,5,4294967295,24.44,1030.71,11.80,548.43,-113.03,0
229080,93,114,224,947,0,5,4294967295,24.44,1030.70,11.79,551.13,-113.03,0
230076,92,113,222,944,0,4,4294967295,24.44,1030.70,11.80,553.40,-113.03,0
231072,92,113,220,941,0,5,4294967295,24.44,1030.70,11.81,552.94,-113.03,0
232068,90,112,218,938,0,5,4294967295,24.44,1030.70,11.79,548.88,-113.03,0
233064,90,112,216,936,0,5,4294967295,24.44,1030.70,11.80,552.94,-113.03,0
234060,89,111,215,932,0,5,4294967295,24.44,1030.70,11.80,554.31,-113.03,0
235056,89,111,213,929,0,5,4294967295,24.44,1030.70,11.80,553.86,-113.03,0
236052,88,110,212,926,0,5,4294967295,24.44,1030.70,11.81,556.61,-113.03,0
237048,87,109,210,923,0,4,4294967295,24.44,1030.70,11.79,557.53,-113.11,0
238044,86,109,209,921,0,4,4294967295,24.44,1030.71,11.80,557.53,-113.03,0
239040,86,108,207,918,0,4,4294967295,24.44,1030.70,11.80,559.39,-113.03,0
240036,85,108,206,915,0,4,4294967295,24.44,1030.70,11.80,558.46,-113.03,0
241032,84,108,205,913,0,4,4294967295,24.44,1030.70,11.80,563.14,-113.03,0
242028,83,107,203,912,0,4,4294967295,24.45,1030.70,11.80,560.79,-113.03,0
243024,83,107,202,910,0,4,4294967295,24.45,1030.70,11.80,562.67,-113.03,0
244020,82,107,201,909,0,4,4294967295,24.44,1030.70,11.79,563.61,-113.03,0
245016,82,106,200,907,0,4,4294967295,24.44,1030.70,11.79,563.61,-113.03,0
246012,81,106,199,904,0,4,4294967295,24.45,1030.70,11.80,564.56,-113.03,0
247008,81,106,198,902,0,4,4294967295,24.45,1030.70,11.79,566.47,-112.94,0
248004,80,106,197,901,0,4,4294967295,24.45,1030.69,11.79,569.83,-112.94,0
249000,79,105,196,899,0,4,4294967295,24.45,1030.69,11.79,565.99,-113.03,0
249996,78,105,194,897,0,4,4294967295,24.45,1030.70,11.80,569.35,-113.03,0
250992,78,104,194,894,0,4,4294967295,24.45,1030.70,11.80,571.77,-113.03,0
251988,77,104,192,892,0,4,4294967295,24.45,1030.70,11.79,569.83,-113.11,0
252984,77,104,191,890,0,4,4294967295,24.45,1030.71,11.79,572.25,-113.03,0
253980,76,103,190,889,0,4,4294967295,24.45,1030.70,11.80,570.80,-113.03,0
254976,76,103,190,888,0,4,4294967295,24.45,1030.70,11.80,571.28,-113.03,0
255972,76,103,188,885,0,4,4294967295,24.45,1030.70,11.81,575.20,-113.11,0
256968,75,102,187,883,0,4,4294967295,24.45,1030.71,11.80,577.67,-113.11,0
257964,75,102,187,882,0,4,4294967295,24.45,1030.71,11.80,574.21,-113.19,0
258960,75,102,186,880,0,4,4294967295,24.45,1030.72,11.80,575.69,-113.19,0
259956,74,101,185,878,0,4,4294967295,24.45,1030.72,11.79,576.18,-113.11,0
260952,74,101,184,876,0,4,4294967295,24.45,1030.71,11.79,576.18,-113.19,0
261948,73,101,184,874,0,4,4294967295,24.45,1030.72,11.80,577.67,-113.19,0
262944,72,100,182,873,0,4,4294967295,24.45,1030.72,11.79,579.66,-113.19,0
263940,72,100,183,872,0,4,4294967295,24.45,1030.72,11.79,581.17,-113.19,0
264936,72,100,181,870,0,4,4294967295,24.45,1030.72,11.80,578.66,-113.27,0
265932,72,99,181,868,0,4,4294967295,24.45,1030.73,11.79,581.67,-113.35,0
266928,71,99,180,867,0,4,4294967295,24.45,1030.74,11.79,582.17,-113.35,0
267924,71,99,179,866,0,4,4294967295,24.45,1030.74,11.78,581.67,-113.44,0
268920,71,99,178,864,0,4,4294967295,24.45,1030.75,11.80,585.22,-113.44,0
269916,70,99,178,863,0,4,4294967295,24.45,1030.75,11.79,583.18,-113.44,0
270912,70,98,176,862,0,4,4294967295,24.45,1030.75,11.78,582.68,-113.44,0
271908,70,98,176,861,0,4,4294967295,24.45,1030.75,11.78,586.24,-113.44,0
272904,69,98,175,860,0,4,4294967295,24.46,1030.75,11.79,586.24,-113.52,0
273900,69,98,174,859,0,4,4294967295,24.46,1030.76,11.78,586.75,-113.52,0
274896,69,98,174,858,0,3,4294967295,24.46,1030.76,11.78,588.81,-113.52,1
275892,68,98,175,873,0,3,4294967295,24.46,1030.76,11.79,589.84,-113.52,1
276888,69,99,177,923,0,3,4294967295,24.46,1030.76,11.79,595.06,-113.52,1
277884,70,98,177,933,0,3,4294967295,24.46,1030.76,11.79,588.29,-113.52,1
278880,69,99,176,928,0,3,4294967295,24.46,1030.76,11.78,590.88,-113.52,1
279876,69,99,176,921,0,3,4294967295,24.46,1030.76,11.77,594.54,-113.44,1
280872,70,98,176,913,0,3,4294967295,24.46,1030.75,11.78,594.01,-113.44,1
281868,70,98,176,907,0,3,4294967295,24.46,1030.75,11.79,590.88,-113.35,1
