timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State-90.52
228084,37,76,81,784,1,10,0,24.89,1027.96,12.48,725.52,-90.52,0
229080,37,76,82,784,1,10,0,24.89,1027.96,12.47,721.62,-90.60,0
230076,37,76,81,785,1,10,0,24.89,1027.97,12.46,721.62,-90.52,0
231072,36,76,82,784,1,10,0,24.89,1027.96,12.48,725.52,-90.68,0
232068,37,76,82,785,1,10,0,24.89,1027.98,12.47,720.85,-90.60,0
233064,36,76,82,785,1,10,0,24.89,1027.97,12.47,723.95,-90.52,0
234060,37,76,81,785,1,10,0,24.89,1027.96,12.47,718.53,-90.52,0
235056,37,76,81,784,1,10,0,24.89,1027.96,12.47,718.53,-90.52,0
236052,37,75,81,784,1,10,0,24.89,1027.96,12.47,717.00,-90.52,0
237048,36,76,81,785,1,10,0,24.89,1027.96,12.47,724.73,-90.52,0
238044,36,76,81,785,1,10,0,24.89,1027.96,12.47,717.76,-90.44,0
239040,37,76,81,785,1,10,0,24.89,1027.95,12.47,727.09,-90.52,0
240036,37,76,82,785,1,10,0,24.89,1027.96,12.47,720.07,-90.52,0
241032,37,76,81,785,1,10,0,24.89,1027.96,12.46,717.00,-90.52,0
242028,37,76,81,786,1,10,0,24.89,1027.96,12.47,718.53,-90.52,0
243024,37,76,81,786,1,10,0,24.89,1027.96,12.46,717.00,-90.52,0
244020,37,76,80,786,1,10,0,24.89,1027.96,12.46,724.73,-90.44,0
245016,37,76,81,786,1,10,0,24.89,1027.95,12.47,716.23,-90.44,0
246012,37,76,81,785,1,10,0,24.89,1027.95,12.46,717.76,-90.52,0
247008,37,75,81,786,1,10,0,24.89,1027.96,12.46,720.07,-90.52,0
248004,37,76,81,787,1,9,0,24.89,1027.96,12.46,716.23,-90.52,0
249000,37,76,81,789,1,10,0,24.89,1027.96,12.45,717.00,-90.52,0
249996,37,76,81,789,1,10,0,24.89,1027.96,12.45,717.00,-90.52,0
250992,37,75,81,790,1,10,0,24.89,1027.96,12.45,713.19,-90.52,0
251988,37,76,81,790,1,10,0,24.89,1027.96,12.45,713.95,-90.52,0
252984,37,76,81,791,1,10,0,24.89,1027.96,12.44,713.19,-90.44,0
253980,37,76,81,791,1,10,0,24.89,1027.95,12.44,713.95,-90.44,0
254976,37,75,81,791,1,10,0,24.89,1027.95,12.44,710.93,-90.44,0
255972,37,76,81,791,1,10,0,24.88,1027.95,12.45,710.93,-90.44,0
256968,37,76,81,790,1,11,0,24.88,1027.95,12.45,707.19,-90.44,0
257964,37,76,81,791,1,10,0,24.88,1027.95,12.44,709.43,-90.44,0
258960,36,75,80,791,1,10,0,24.88,1027.95,12.45,707.93,-90.52,0
259956,37,75,80,791,1,10,0,24.88,1027.96,12.46,705.70,-90.52,0
260952,37,76,81,791,1,10,0,24.88,1027.96,12.46,702.01,-90.52,0
261948,37,76,80,791,1,10,0,24.88,1027.96,12.45,704.22,-90.52,0
262944,37,76,81,793,1,10,0,24.88,1027.96,12.45,699.09,-90.52,0
263940,37,76,81,793,1,10,0,24.88,1027.96,12.45,702.01,-90.52,0
264936,37,76,81,793,1,10,0,24.88,1027.96,12.45,700.55,-90.60,0
265932,37,75,81,793,1,10,0,24.88,1027.97,12.45,700.55,-90.52,0
266928,37,76,80,793,1,10,0,24.88,1027.96,12.45,698.37,-90.60,0
267924,36,75,80,793,1,10,0,24.88,1027.97,12.45,696.20,-90.60,0
268920,37,75,80,792,1,10,0,24.88,1027.97,12.44,692.61,-90.52,0
